account_id,customer_id,account_type
ACC00001,1,Savings
ACC00002,2,Savings
ACC00003,3,Current
ACC00004,4,Savings
ACC00005,5,Savings
ACC00006,6,Savings
ACC00007,7,Current
ACC00008,8,Savings
ACC00009,9,Savings
ACC00010,10,Current
ACC00011,11,Savings
ACC00012,12,Current
ACC00013,13,Savings
ACC00014,14,Current
ACC00015,15,Savings
ACC00016,16,Savings
ACC00017,17,Current
ACC00018,18,Savings
ACC00019,19,Savings
ACC00020,20,Savings
ACC00021,21,Current
ACC00022,22,Current
ACC00023,23,Current
ACC00024,24,Savings
ACC00025,25,Current
ACC00026,26,Savings
ACC00027,27,Savings
ACC00028,28,Savings
ACC00029,29,Savings
ACC00030,30,Savings
ACC00031,31,Current
ACC00032,32,Current
ACC00033,33,Savings
ACC00034,34,Savings
ACC00035,35,Current
ACC00036,36,Current
ACC00037,37,Savings
ACC00038,38,Savings
ACC00039,39,Savings
ACC00040,40,Savings
ACC00041,41,Savings
ACC00042,42,Current
ACC00043,43,Current
ACC00044,44,Current
ACC00045,45,Current
ACC00046,46,Savings
ACC00047,47,Savings
ACC00048,48,Current
ACC00049,49,Savings
ACC00050,50,Savings
ACC00051,51,Current
ACC00052,52,Savings
ACC00053,53,Current
ACC00054,54,Savings
ACC00055,55,Savings
ACC00056,56,Current
ACC00057,57,Current
ACC00058,58,Savings
ACC00059,59,Savings
ACC00060,60,Current
ACC00061,61,Current
ACC00062,62,Savings
ACC00063,63,Savings
ACC00064,64,Current
ACC00065,65,Savings
ACC00066,66,Savings
ACC00067,67,Current
ACC00068,68,Current
ACC00069,69,Savings
ACC00070,70,Current
ACC00071,71,Current
ACC00072,72,Current
ACC00073,73,Savings
ACC00074,74,Current
ACC00075,75,Savings
ACC00076,76,Savings
ACC00077,77,Savings
ACC00078,78,Savings
ACC00079,79,Current
ACC00080,80,Savings
ACC00081,81,Savings
ACC00082,82,Savings
ACC00083,83,Current
ACC00084,84,Current
ACC00085,85,Current
ACC00086,86,Current
ACC00087,87,Current
ACC00088,88,Savings
ACC00089,89,Savings
ACC00090,90,Current
ACC00091,91,Savings
ACC00092,92,Current
ACC00093,93,Savings
ACC00094,94,Savings
ACC00095,95,Savings
ACC00096,96,Current
ACC00097,97,Current
ACC00098,98,Savings
ACC00099,99,Current
ACC00100,100,Current
ACC00101,101,Savings
ACC00102,102,Savings
ACC00103,103,Savings
ACC00104,104,Savings
ACC00105,105,Current
ACC00106,106,Savings
ACC00107,107,Current
ACC00108,108,Savings
ACC00109,109,Current
ACC00110,110,Savings
ACC00111,111,Savings
ACC00112,112,Savings
ACC00113,113,Savings
ACC00114,114,Savings
ACC00115,115,Savings
ACC00116,116,Current
ACC00117,117,Current
ACC00118,118,Current
ACC00119,119,Savings
ACC00120,120,Current
ACC00121,121,Savings
ACC00122,122,Current
ACC00123,123,Savings
ACC00124,124,Savings
ACC00125,125,Current
ACC00126,126,Current
ACC00127,127,Current
ACC00128,128,Savings
ACC00129,129,Current
ACC00130,130,Savings
ACC00131,131,Current
ACC00132,132,Current
ACC00133,133,Current
ACC00134,134,Savings
ACC00135,135,Current
ACC00136,136,Savings
ACC00137,137,Current
ACC00138,138,Savings
ACC00139,139,Current
ACC00140,140,Savings
ACC00141,141,Savings
ACC00142,142,Savings
ACC00143,143,Savings
ACC00144,144,Savings
ACC00145,145,Savings
ACC00146,146,Savings
ACC00147,147,Savings
ACC00148,148,Current
ACC00149,149,Current
ACC00150,150,Current
ACC00151,151,Savings
