transaction_id,account_id,transaction_date,transaction_type,amount,merchant,location,channel,is_fraud
1,ACC00845,2025-04-08 22:21:00,Purchase,297.89,Local Store,Kolkata,Branch,0
2,ACC00603,2025-03-05 14:29:00,Deposit,157.86,Myntra,Delhi,POS,1
3,ACC00754,2025-01-25 17:59:00,Payment,346.43,Reliance,Ahmedabad,POS,0
4,ACC00933,2025-04-01 22:37:00,Withdrawal,831.33,BookMyShow,Mumbai,Online,0
5,ACC00621,2025-06-14 16:56:00,Payment,143.43,Zomato,Bangalore,Branch,0
6,ACC00352,2025-05-31 14:51:00,Withdrawal,143.43,DMart,Pune,Online,0
7,ACC00767,2025-09-20 09:53:00,Deposit,879.38,Swiggy,Bangalore,Mobile,0
8,ACC00732,2025-05-29 21:22:00,Withdrawal,390.5,Electronics Store,Hyderabad,Online,0
9,ACC00361,2025-10-15 15:37:00,Deposit,113.36,BookMyShow,Chennai,Branch,0
10,ACC00536,2025-02-24 00:24:00,Withdrawal,311.86,Swiggy,Kolkata,ATM,0
11,ACC00805,2025-03-24 09:43:00,Transfer,114.04,Electronics Store,Kolkata,Online,0
12,ACC00209,2025-10-05 01:22:00,Payment,113.78,Electronics Store,Bangalore,ATM,0
13,ACC00399,2025-05-02 16:50:00,Transfer,230.89,BookMyShow,Pune,ATM,0
14,ACC00808,2025-12-17 10:35:00,Purchase,26.75,Swiggy,Chennai,ATM,0
15,ACC00800,2025-08-15 07:58:00,Transfer,32.3,Travel Agency,Bangalore,POS,0
16,ACC00199,2025-05-31 14:11:00,Purchase,103.31,Electronics Store,Delhi,Online,0
17,ACC00387,2025-01-21 13:17:00,Deposit,65.84,Walmart,Delhi,Mobile,0
18,ACC00262,2025-01-03 10:29:00,Withdrawal,248.2,Uber,Delhi,ATM,0
19,ACC00793,2025-11-17 19:53:00,Transfer,73.11,Flipkart,Hyderabad,Branch,0
20,ACC00326,2025-09-27 07:11:00,Deposit,44.15,BookMyShow,Delhi,ATM,0
21,ACC00414,2025-02-17 11:14:00,Withdrawal,784.97,Uber,Hyderabad,Mobile,0
22,ACC00974,2025-11-13 16:30:00,Deposit,144.64,Local Store,Mumbai,ATM,0
23,ACC00247,2025-11-25 19:58:00,Deposit,193.94,Local Store,Kolkata,Online,0
24,ACC00391,2025-02-28 12:16:00,Deposit,43.61,Reliance,Kolkata,Mobile,0
25,ACC00384,2025-09-21 16:28:00,Payment,105.17,Local Store,Chennai,ATM,0
26,ACC00527,2025-02-12 03:10:00,Deposit,202.54,Local Store,Kolkata,POS,0
27,ACC00687,2025-11-19 06:55:00,Payment,57.34,Reliance,Bangalore,ATM,0
28,ACC00900,2025-08-11 20:52:00,Purchase,263.93,Myntra,Kolkata,Online,0
29,ACC00039,2025-02-14 02:03:00,Withdrawal,99.42,DMart,Mumbai,Mobile,0
30,ACC00933,2025-05-13 13:24:00,Payment,135.41,Uber,Pune,Branch,0
31,ACC00690,2025-03-02 17:00:00,Deposit,99.31,Electronics Store,Kolkata,ATM,0
32,ACC00367,2025-09-15 03:18:00,Transfer,1155.49,Zomato,Mumbai,POS,0
33,ACC00449,2025-07-15 12:52:00,Purchase,178.84,Reliance,Delhi,Branch,0
34,ACC00765,2025-07-20 17:18:00,Withdrawal,62.95,Amazon,Hyderabad,Mobile,0
35,ACC00569,2025-03-14 03:02:00,Purchase,412.63,Reliance,Pune,POS,0
36,ACC00088,2025-06-06 06:47:00,Transfer,53.47,Local Store,Pune,Online,0
37,ACC00146,2025-03-24 05:14:00,Deposit,223.38,Flipkart,Bangalore,Mobile,0
38,ACC00819,2025-10-18 01:54:00,Deposit,25.54,Zomato,Mumbai,Branch,0
39,ACC00257,2025-02-20 06:46:00,Deposit,48.03,Uber,Hyderabad,Branch,0
40,ACC00672,2025-05-01 03:18:00,Deposit,220.71,Uber,Bangalore,ATM,0
41,ACC00337,2025-11-12 21:19:00,Deposit,379.35,Travel Agency,Hyderabad,Online,0
42,ACC00439,2025-03-28 00:20:00,Withdrawal,215.16,Zomato,Pune,Online,0
43,ACC00138,2025-12-14 23:21:00,Payment,161.48,Uber,Ahmedabad,Branch,0
44,ACC00499,2025-10-10 03:11:00,Deposit,134.14,Walmart,Chennai,ATM,0
45,ACC00202,2025-05-15 23:56:00,Purchase,41.33,Reliance,Kolkata,ATM,0
46,ACC00833,2025-10-25 18:25:00,Deposit,88.25,Reliance,Kolkata,Online,0
47,ACC00916,2025-10-04 15:41:00,Withdrawal,114.36,Swiggy,Pune,Mobile,0
48,ACC00604,2025-05-29 04:29:00,Deposit,521.72,BookMyShow,Mumbai,POS,0
49,ACC00011,2025-12-06 07:54:00,Deposit,255.6,Myntra,Delhi,Online,0
50,ACC00580,2025-10-17 21:55:00,Withdrawal,31.09,Amazon,Hyderabad,Branch,0
51,ACC00500,2025-04-29 02:16:00,Transfer,250.66,Local Store,Kolkata,Online,0
52,ACC00930,2025-07-04 12:30:00,Payment,123.34,Local Store,Kolkata,ATM,0
53,ACC00721,2025-09-24 20:53:00,Transfer,92.12,BookMyShow,Delhi,Mobile,0
54,ACC00375,2025-10-28 20:57:00,Purchase,334.18,BookMyShow,Chennai,POS,0
55,ACC00229,2025-09-22 12:22:00,Transfer,508.26,DMart,Ahmedabad,Branch,1
56,ACC00904,2025-03-13 14:10:00,Withdrawal,460.02,Swiggy,Chennai,ATM,0
57,ACC00162,2025-07-05 19:45:00,Purchase,78.32,Travel Agency,Pune,Online,0
58,ACC00117,2025-09-04 21:30:00,Payment,133.06,Local Store,Delhi,Online,0
59,ACC00023,2025-05-05 01:08:00,Deposit,252.46,Walmart,Delhi,POS,0
60,ACC00041,2025-10-21 04:03:00,Withdrawal,480.85,Reliance,Delhi,Mobile,0
61,ACC00614,2025-10-16 20:01:00,Transfer,112.26,Myntra,Bangalore,ATM,0
62,ACC00483,2025-09-04 05:14:00,Payment,150.56,Travel Agency,Delhi,POS,0
63,ACC00786,2025-04-04 19:42:00,Deposit,59.96,Electronics Store,Delhi,Mobile,0
64,ACC00945,2025-08-21 19:37:00,Purchase,54.81,BookMyShow,Pune,Online,0
65,ACC00017,2025-04-14 16:55:00,Deposit,408.51,DMart,Delhi,Branch,0
66,ACC00488,2025-11-11 19:02:00,Deposit,703.62,Flipkart,Mumbai,POS,0
67,ACC00134,2025-11-05 17:52:00,Purchase,168.68,Uber,Pune,Branch,0
68,ACC00715,2025-09-29 13:14:00,Payment,494.49,DMart,Hyderabad,Branch,0
69,ACC00930,2025-12-23 18:06:00,Payment,260.25,Myntra,Chennai,Online,0
70,ACC00932,2025-02-12 09:38:00,Deposit,95.1,Swiggy,Chennai,Branch,1
71,ACC00762,2025-01-04 18:33:00,Purchase,260.19,BookMyShow,Kolkata,POS,0
72,ACC00705,2025-06-11 13:23:00,Purchase,843.9,Local Store,Pune,Online,0
73,ACC00268,2025-10-02 13:36:00,Transfer,174.89,Local Store,Chennai,POS,0
74,ACC00209,2025-07-31 17:50:00,Deposit,866.66,Uber,Delhi,Branch,0
75,ACC00496,2025-05-10 09:36:00,Transfer,13.2,Local Store,Delhi,Branch,0
76,ACC00236,2025-08-17 22:10:00,Purchase,412.36,Travel Agency,Pune,Online,0
77,ACC00564,2025-11-11 22:43:00,Purchase,197.76,Local Store,Pune,Online,1
78,ACC00094,2025-03-16 15:59:00,Deposit,134.42,Flipkart,Mumbai,Branch,0
79,ACC00380,2025-02-10 19:02:00,Payment,198.69,Electronics Store,Chennai,Branch,0
80,ACC00059,2025-03-31 20:31:00,Payment,24.84,Local Store,Bangalore,ATM,0
